"Group1_key","estandards_key","irn","RecordType","StandardName","Module","StandardVersion","Status","Term","TermURI","FormatSpecifier","CollapseEmptyValues","RemoveDuplicateValues","NestedSeparator","TermFormatString","Field","DefinedTerm","Expr1017","RowInclusion","FormatSeparator","TypeOfWhere","WhereOperator","Script","WhereCondition"
86,66,28,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber","String","Yes","Yes",,"%s%s","GeoSpecimenNo",,,,,"Boolean","AND",,"Does Not Equal"
87,67,145,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:chronometricAgeDeterminedBy","http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedBy","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsInterpreterNameRef_tab.eparties.NamFullName",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
90,68,146,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:chronometricAgeDeterminedDate","http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedDate","Script","Yes","Yes",,,"PalStrDate0",,,,,"Group Row Select","AND","sub
fieldFormat
{
   my $value = """";
   foreach my $field (@fields)
   {
        $value = $field;
         if ($value ne """")
        {
            return($value);
        }
    }
    return $value;
}","Equals"
92,69,147,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:chronometricAgeProtocol","http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsDatingMethod_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
95,70,148,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:chronometricAgeRemarks","http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsComments_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
98,71,149,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:chronometricAgeUncertaintyInYears","http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsErrorsFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1 && $fields[1] ne """")
    {
         $value .= ""-"" if ($value ne """");
         $value .= $fields[1];
    }
    if ($max > 2 && ($fields[2] ne """" || $fields[3] ne """"))
    {
        $value .= "" "" if ($value ne """");
        if ($fields[2] ne """")
        {
            $value .= $fields[2];
        }
        elsif ($max > 3)
        {
            $value .= $fields[3];
        }
    }
    return $value;
}","Equals"
104,74,799,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:continent","http://rs.tdwg.org/dwc/terms/continent","String","Yes","Yes",,"%s%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.CulCulturalRegion",,,,,,,,"Equals"
105,74,799,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:continent","http://rs.tdwg.org/dwc/terms/continent","String","Yes","Yes",,"%s%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolContinent",,,,,,,,"Does Not Equal"
106,75,156,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:continent","http://rs.tdwg.org/dwc/terms/continent","String","Yes","Yes",,"%s%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.CulCulturalRegion",,,,,,,,"Equals"
107,75,156,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:continent","http://rs.tdwg.org/dwc/terms/continent","String","Yes","Yes",,"%s%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolContinent",,,,,,,,"Does Not Equal"
